txn_id,amount,category,email,day
1,57.69,A,user1@example.com,2025-09-21
2,44.41,C,user2@example.com,2025-09-21
3,55.39,B,user3@example.com,2025-09-21
4,29.21,B,user4@example.com,2025-09-21
5,65.09,A,user5@example.com,2025-09-21
6,51.96,A,user6@example.com,2025-09-21
7,45.04,C,user7@example.com,2025-09-21
8,56.9,A,user8@example.com,2025-09-21
9,23.93,C,user9@example.com,2025-09-21
10,50.25,A,user10@example.com,2025-09-21
11,39.96,B,user11@example.com,2025-09-21
12,27.23,A,user12@example.com,2025-09-21
13,58.73,A,user13@example.com,2025-09-21
14,35.67,A,user14@example.com,2025-09-21
15,70.19,A,user15@example.com,2025-09-21
16,31.43,A,user16@example.com,2025-09-21
17,43.95,C,,2025-09-21
18,55.64,B,user18@example.com,2025-09-21
19,49.22,C,user19@example.com,2025-09-21
20,57.07,A,user20@example.com,2025-09-21
21,66.55,A,user21@example.com,2025-09-21
22,51.19,B,user22@example.com,2025-09-21
23,48.88,A,user23@example.com,2025-09-21
24,180.91,A,user24@example.com,2025-09-21
25,47.17,B,user25@example.com,2025-09-21
26,46.26,B,user26@example.com,2025-09-21
27,79.72,B,user27@example.com,2025-09-21
28,50.38,A,user28@example.com,2025-09-21
29,53.17,A,user29@example.com,2025-09-21
30,31.22,B,user30@example.com,2025-09-21
31,44.9,A,user31@example.com,2025-09-21
32,111.35,A,user32@example.com,2025-09-21
33,82.77,A,user33@example.com,2025-09-21
34,44.31,B,user34@example.com,2025-09-21
35,41.84,B,user35@example.com,2025-09-21
36,87.95,A,user36@example.com,2025-09-21
37,66.33,C,user37@example.com,2025-09-21
38,158.74,B,user38@example.com,2025-09-21
39,69.94,A,,2025-09-21
40,44.73,A,user40@example.com,2025-09-21
41,32.96,B,user41@example.com,2025-09-21
42,50.97,A,user42@example.com,2025-09-21
43,195.06,B,user43@example.com,2025-09-21
44,99.41,A,user44@example.com,2025-09-21
45,44.54,A,user45@example.com,2025-09-21
46,44.09,A,user46@example.com,2025-09-21
47,32.12,B,user47@example.com,2025-09-21
48,76.5,B,user48@example.com,2025-09-21
49,66.32,A,user49@example.com,2025-09-21
50,51.42,B,user50@example.com,2025-09-21
51,50.86,B,user51@example.com,2025-09-21
52,56.97,B,user52@example.com,2025-09-21
53,106.91,A,user53@example.com,2025-09-21
54,38.7,B,user54@example.com,2025-09-21
55,57.29,A,user55@example.com,2025-09-21
56,92.21,B,user56@example.com,2025-09-21
57,36.16,B,user57@example.com,2025-09-21
58,51.04,B,user58@example.com,2025-09-21
59,34.64,A,,2025-09-21
60,47.52,A,user60@example.com,2025-09-21
61,43.34,C,user61@example.com,2025-09-21
62,73.28,A,user62@example.com,2025-09-21
63,58.96,B,user63@example.com,2025-09-21
64,40.94,A,user64@example.com,2025-09-21
65,54.64,A,user65@example.com,2025-09-21
66,38.58,A,user66@example.com,2025-09-21
67,57.25,A,user67@example.com,2025-09-21
68,75.3,C,user68@example.com,2025-09-21
69,55.22,A,user69@example.com,2025-09-21
70,57.8,A,user70@example.com,2025-09-21
71,68.12,A,user71@example.com,2025-09-21
72,54.66,A,user72@example.com,2025-09-21
73,59.15,A,user73@example.com,2025-09-21
74,36.72,C,user74@example.com,2025-09-21
75,27.97,B,user75@example.com,2025-09-21
76,60.61,C,user76@example.com,2025-09-21
77,61.17,A,user77@example.com,2025-09-21
78,74.15,C,user78@example.com,2025-09-21
79,34.69,B,user79@example.com,2025-09-21
80,71.48,A,user80@example.com,2025-09-21
81,30.78,C,user81@example.com,2025-09-21
82,53.77,C,user82@example.com,2025-09-21
83,39.03,C,user83@example.com,2025-09-21
84,81.44,A,user84@example.com,2025-09-21
85,28.94,A,user85@example.com,2025-09-21
86,68.68,C,user86@example.com,2025-09-21
87,21.76,A,user87@example.com,2025-09-21
88,44.49,B,user88@example.com,2025-09-21
89,41.65,B,user89@example.com,2025-09-21
90,23.23,B,user90@example.com,2025-09-21
91,55.8,A,user91@example.com,2025-09-21
92,65.72,A,user92@example.com,2025-09-21
93,99.47,A,user93@example.com,2025-09-21
94,73.1,A,,2025-09-21
95,75.13,B,user95@example.com,2025-09-21
96,35.29,A,,2025-09-21
97,38.22,A,user97@example.com,2025-09-21
98,54.85,A,user98@example.com,2025-09-21
99,50.61,B,user99@example.com,2025-09-21
100,59.11,A,user100@example.com,2025-09-21
101,56.4,B,user101@example.com,2025-09-21
102,35.55,B,user102@example.com,2025-09-21
103,50.56,A,,2025-09-21
104,49.64,B,,2025-09-21
105,30.31,A,user105@example.com,2025-09-21
106,60.62,A,,2025-09-21
107,92.72,C,,2025-09-21
108,31.88,B,user108@example.com,2025-09-21
109,49.48,B,user109@example.com,2025-09-21
110,40.04,C,user110@example.com,2025-09-21
111,83.56,A,user111@example.com,2025-09-21
112,47.61,A,user112@example.com,2025-09-21
113,31.26,B,user113@example.com,2025-09-21
114,80.01,A,,2025-09-21
115,41.39,B,user115@example.com,2025-09-21
116,38.3,C,user116@example.com,2025-09-21
117,63.38,A,user117@example.com,2025-09-21
118,50.34,C,user118@example.com,2025-09-21
119,54.92,A,,2025-09-21
120,28.01,B,user120@example.com,2025-09-21
121,45.57,B,user121@example.com,2025-09-21
122,37.95,B,user122@example.com,2025-09-21
123,52.71,A,user123@example.com,2025-09-21
124,101.82,C,,2025-09-21
125,44.66,B,user125@example.com,2025-09-21
126,55.13,A,user126@example.com,2025-09-21
127,35.56,A,user127@example.com,2025-09-21
128,61.87,A,,2025-09-21
129,35.09,A,user129@example.com,2025-09-21
130,47.09,B,user130@example.com,2025-09-21
131,49.21,B,,2025-09-21
132,45.6,A,user132@example.com,2025-09-21
133,54.19,B,user133@example.com,2025-09-21
134,60.23,A,user134@example.com,2025-09-21
135,50.95,A,user135@example.com,2025-09-21
136,51.06,A,user136@example.com,2025-09-21
137,52.15,B,user137@example.com,2025-09-21
138,58.24,B,user138@example.com,2025-09-21
139,56.87,A,user139@example.com,2025-09-21
140,33.87,C,user140@example.com,2025-09-21
141,43.55,B,user141@example.com,2025-09-21
142,49.25,C,user142@example.com,2025-09-21
143,33.37,C,user143@example.com,2025-09-21
144,71.11,A,user144@example.com,2025-09-21
145,36.84,B,,2025-09-21
